country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
ISL,ECS,HighIncome,no,yes,yes,no,330815.0,525000.0,2.86,55.81,49680.0
ISR,MEA,HighIncome,no,yes,yes,no,8380100.0,5400000.0,0.0,25.0,34344.17
ITA,ECS,HighIncome,yes,yes,yes,no,60730582.0,29524000.0,17.6,25.9,34260.24
JAM,LCN,MiddleUpperIncome,yes,yes,yes,yes,2881355.0,1051694.575,0.0,0.0,4790.04
JOR,MEA,MiddleUpperIncome,no,no,yes,yes,8413464.0,2529997.0,0.0,7.0,3662.19
JPN,EAS,HighIncome,yes,no,yes,yes,127141000.0,43981000.0,0.4,4.9,47605.98
KAZ,ECS,MiddleUpperIncome,no,yes,yes,yes,16791425.0,4659740.0,0.0,2.92,11214.6
KEN,SSF,LowMiddleIncome,no,no,yes,no,41350152.0,5595099.0,0.0,8.0,1340.0
KGZ,ECS,LowMiddleIncome,no,yes,yes,yes,5956900.0,1113300.0,0.0,0.0,1065.44
KHM,EAS,LowMiddleIncome,no,yes,yes,yes,15270790.0,1089000.0,0.0,0.0,1113.85
KIR,EAS,LowMiddleIncome,no,yes,yes,no,114395.0,35723.8275,0.0,0.0,1685.99
KNA,LCN,HighIncome,yes,yes,yes,no,54288.0,32892.14,0.0,0.0,15810.95
KOR,EAS,HighIncome,yes,yes,yes,yes,50746659.0,18218975.0,1.0,58.0,25734.65
KWT,MEA,HighIncome,no,yes,yes,no,2998083.0,1750000.0,0.0,0.0,47649.55
LAO,EAS,LowMiddleIncome,no,yes,yes,yes,6663967.0,351900.0,0.0,10.0,1666.0
LBN,MEA,MiddleUpperIncome,no,yes,no,no,5603279.0,2040000.0,15.0,8.0,7658.26
LBR,SSF,LowIncome,no,yes,yes,yes,3512932.0,564466.7,0.0,0.0,463.16
LBY,MEA,MiddleUpperIncome,no,yes,no,no,6193501.0,2147596.47175,0.0,0.0,5943.14
LCA,LCN,MiddleUpperIncome,yes,yes,yes,yes,177206.0,77616.228,0.1,0.0,8407.47
LIE,ECS,HighIncome,no,yes,yes,no,36545.0,32382.0,0.0,64.6,35895.51301587302
LKA,SAS,LowMiddleIncome,yes,yes,yes,no,21203000.0,2631650.0,5.0,12.79,3768.67
LSO,SSF,LowMiddleIncome,no,no,no,no,1965662.0,73457.0,0.0,0.0,1516.34
LTU,ECS,HighIncome,no,yes,yes,yes,2904910.0,1300000.0,10.15,22.92,15744.19
LUX,ECS,HighIncome,yes,yes,yes,no,569604.0,356000.0,19.66,28.37,110967.03
LVA,ECS,HighIncome,no,yes,yes,yes,1977527.0,857000.0,5.48,21.23,14599.8
MAC,EAS,HighIncome,yes,yes,yes,yes,612167.0,377942.0,0.0,20.0,52144.03
MAF,LCN,HighIncome,no,no,yes,yes,30959.0,15479.5,0.0,0.0,35895.51301587302
MAR,MEA,LowMiddleIncome,no,no,yes,yes,34318082.0,6852000.0,1.0,8.0,3344.71
MCO,ECS,HighIncome,yes,yes,yes,yes,37783.0,46000.0,0.0,5.4,35895.51301587302
MDA,ECS,LowMiddleIncome,no,yes,yes,yes,3554108.0,3981200.0,0.0,15.32,2069.38
MDG,SSF,LowIncome,no,no,yes,yes,24894551.0,3768759.16,3.5,0.0,416.0
MDV,SAS,MiddleUpperIncome,no,yes,yes,no,409163.0,211505.78,7.0,0.0,8799.42
MEX,LCN,MiddleUpperIncome,yes,no,yes,yes,125890949.0,53100000.0,0.0,5.0,10001.01
MHL,EAS,MiddleUpperIncome,no,yes,yes,no,52793.0,8614.0,6.0,30.8,3391.39
MKD,ECS,MiddleUpperIncome,yes,yes,yes,yes,2081206.0,796585.0,0.1,0.18,5249.22
MLI,SSF,LowIncome,no,no,no,yes,16006670.0,1937354.44,0.0,0.0,838.51
MLT,MEA,HighIncome,yes,yes,yes,yes,431874.0,269000.0,0.0,6.69,27481.34
MMR,EAS,LowMiddleIncome,no,yes,yes,yes,46095462.0,4677306.52914,0.0,0.0,1615.56
MNE,ECS,MiddleUpperIncome,yes,yes,yes,no,622159.0,332000.0,0.0,5.42,7494.6
MNG,EAS,LowMiddleIncome,no,no,yes,yes,3027398.0,2900000.0,0.0,0.0,3906.12
MNP,EAS,HighIncome,no,yes,yes,no,54036.0,32761.4145,0.0,36.0,19464.53
MOZ,SSF,LowIncome,no,yes,yes,no,27212382.0,2500000.0,0.0,1.0,545.56
MRT,SSF,LowMiddleIncome,no,no,yes,no,3506288.0,454000.0,0.0,8.0,1589.76
MUS,SSF,MiddleUpperIncome,no,no,yes,yes,1263473.0,438000.0,9.0,0.0,9822.01
MWI,SSF,LowIncome,no,no,no,no,16577147.0,1297844.48,0.0,0.0,525.44
MYS,EAS,MiddleUpperIncome,no,yes,yes,yes,30228017.0,12982685.0,1.0,17.5,11381.9
NAM,SSF,MiddleUpperIncome,no,no,no,no,1559983.0,256729.0,0.0,4.5,9583.55
NCL,EAS,HighIncome,no,no,yes,no,278000.0,108157.384,0.0,0.0,35895.51301587302
NER,SSF,LowIncome,no,no,yes,yes,8842415.0,1865645.67,0.0,4.0,916.82
NGA,SSF,LowMiddleIncome,no,no,yes,yes,154402181.0,27614830.07185,0.0,0.0,2958.35
NIC,LCN,LowMiddleIncome,no,no,yes,no,5737723.0,1528816.29335,0.0,0.0,2083.66
NLD,ECS,HighIncome,yes,yes,yes,no,16939923.0,8855000.0,27.1,24.61,52546.63
NOR,ECS,HighIncome,yes,yes,yes,yes,5188607.0,2187000.0,16.69,26.16,91116.15
NPL,SAS,LowIncome,no,yes,yes,yes,28982771.0,1768977.49,2.87,0.0,685.12
NRU,EAS,MiddleUpperIncome,no,yes,yes,no,13049.0,6191.7505,0.0,0.0,9650.57
NZL,EAS,HighIncome,yes,yes,yes,yes,4692700.0,3405000.0,0.0,0.0,37532.46
OMN,MEA,HighIncome,no,yes,yes,yes,3960925.0,1734885.15,0.0,0.0,18948.69
PAK,SAS,LowMiddleIncome,no,yes,no,yes,193203476.0,30760000.0,2.0,8.0,1179.41
PAN,LCN,HighIncome,no,no,yes,no,3969249.0,1472262.2151499996,0.0,0.0,11284.01
PER,LCN,MiddleUpperIncome,yes,yes,yes,yes,30973354.0,8356711.13,0.0,4.0,6252.25
PHL,EAS,LowMiddleIncome,yes,yes,yes,yes,103320222.0,14631922.9,0.0,28.0,2752.11
PLW,EAS,HighIncome,no,no,yes,no,21503.0,9426.7455,0.0,0.0,10477.98
PNG,EAS,LowMiddleIncome,no,yes,yes,yes,7755785.0,1000000.0,0.0,2.0,2499.97
POL,ECS,HighIncome,no,yes,yes,yes,37986412.0,10863000.0,16.11,26.39,15061.49
PRI,LCN,HighIncome,no,yes,yes,yes,3473181.0,4170953.0,0.0,14.0,26784.85
PRT,ECS,HighIncome,yes,yes,yes,yes,10401062.0,4710000.0,14.12,16.23,22280.92
PRY,LCN,MiddleUpperIncome,no,no,yes,no,6639119.0,1818501.3648,0.0,0.0,3976.52
PSE,MEA,LowMiddleIncome,yes,yes,yes,no,4046901.0,1387000.0,0.5,0.5,2907.71
PYF,EAS,HighIncome,no,yes,no,no,273528.0,147000.0,0.0,39.0,35895.51301587302
QAT,MEA,HighIncome,yes,yes,yes,no,2109568.0,1000990.016,0.0,3.0,80899.33
ROU,ECS,MiddleUpperIncome,yes,yes,yes,yes,19815481.0,4895000.0,7.46,5.67,10104.08
RUS,ECS,MiddleUpperIncome,yes,yes,yes,yes,143201676.0,60000000.0,0.0,4.5,11553.17
RWA,SSF,LowIncome,no,no,no,no,11917508.0,4384969.0,0.0,0.0,738.83
SAU,MEA,HighIncome,yes,yes,yes,no,31557144.0,16125700.584,0.0,15.0,21867.28
SDN,SSF,LowMiddleIncome,no,no,no,no,38647803.0,2831291.0,0.0,0.0,1970.34
SEN,SSF,LowIncome,no,no,yes,yes,15411614.0,2454059.25,0.0,0.0,1092.25
SGP,EAS,HighIncome,yes,yes,yes,yes,5607283.0,7704300.0,0.0,61.0,53353.84
SLB,EAS,LowMiddleIncome,no,yes,yes,no,563513.0,179971.964375,0.0,0.0,1598.65
SLE,SSF,LowIncome,no,no,no,no,5439695.0,610222.09,0.0,0.0,616.83
SLV,LCN,LowMiddleIncome,no,yes,yes,yes,6164626.0,1648996.18,0.0,0.0,3502.01
SMR,ECS,HighIncome,no,no,no,no,33203.0,17174.68,0.0,45.05,52596.22
SOM,SSF,LowIncome,no,no,no,no,14317996.0,2326099.17,0.0,0.0,743.6455172413795
SRB,ECS,MiddleUpperIncome,yes,yes,yes,yes,7095383.0,1840000.0,0.0,0.76,5821.82
SSD,SSF,LowIncome,no,no,no,no,11177490.0,2680681.0,0.0,0.0,743.6455172413795
STP,SSF,LowMiddleIncome,no,no,no,no,191266.0,25586.5,0.0,0.0,1342.75
SUR,LCN,MiddleUpperIncome,no,no,no,no,526103.0,78619.79914999999,0.0,0.0,8605.5
SVK,ECS,HighIncome,yes,yes,yes,yes,5423801.0,1784000.0,7.29,7.62,19299.95
SVN,ECS,HighIncome,no,yes,yes,no,2063531.0,926000.0,7.67,46.44,24478.31
SWE,ECS,HighIncome,yes,yes,yes,no,9799186.0,4377000.0,15.63,32.37,57187.06
SWZ,SSF,LowMiddleIncome,no,no,no,no,1343098.0,218199.47,0.0,0.0,3906.26
SYC,SSF,HighIncome,no,yes,yes,yes,88303.0,48000.0,0.0,0.0,14579.91
SYR,MEA,LowIncome,no,yes,yes,no,20824893.0,4500000.0,1.5,2.5,743.6455172413795
