country_code,region_id,income_id,compo_organic,compo_glass,compo_metal,compo_other,compo_paper_cardboard,compo_plastic,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
IRQ,MEA,MiddleUpperIncome,68.7,2.3,0.98,6.0,9.6,5.29,no,no,no,no,36115649.0,13140000.0,0.0,0.0,5923.68
ISR,MEA,HighIncome,34.0,3.0,3.0,16.0,24.0,18.0,no,yes,yes,no,8380100.0,5400000.0,0.0,25.0,34344.17
ITA,ECS,HighIncome,34.4,7.6,4.3,15.4,22.8,11.6,yes,yes,yes,no,60730582.0,29524000.0,17.6,25.9,34260.24
JAM,LCN,MiddleUpperIncome,62.22,2.81,2.38,5.13,14.73,12.2,yes,yes,yes,yes,2881355.0,1051694.575,0.0,0.0,4790.04
JOR,MEA,MiddleUpperIncome,50.0,2.0,1.5,15.5,15.0,16.0,no,no,yes,yes,8413464.0,2529997.0,0.0,7.0,3662.19
JPN,EAS,HighIncome,36.0,5.0,4.0,6.0,33.0,11.0,yes,no,yes,yes,127141000.0,43981000.0,0.4,4.9,47605.98
KAZ,ECS,MiddleUpperIncome,30.0,5.0,3.0,7.0,25.0,25.0,no,yes,yes,yes,16791425.0,4659740.0,0.0,2.92,11214.6
KEN,SSF,LowMiddleIncome,57.0,3.0,1.0,9.0,11.3,18.7,no,no,yes,no,41350152.0,5595099.0,0.0,8.0,1340.0
KHM,EAS,LowMiddleIncome,66.6,2.6,2.0,10.4,4.0,8.6,no,yes,yes,yes,15270790.0,1089000.0,0.0,0.0,1113.85
KIR,EAS,LowMiddleIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,yes,yes,no,114395.0,35723.8275,0.0,0.0,1685.99
KNA,LCN,HighIncome,27.2,8.1,8.8,12.2,20.5,23.2,yes,yes,yes,no,54288.0,32892.14,0.0,0.0,15810.95
KWT,MEA,HighIncome,45.0,4.0,2.0,8.0,20.0,20.0,no,yes,yes,no,2998083.0,1750000.0,0.0,0.0,47649.55
LAO,EAS,LowMiddleIncome,16.9,9.3,3.7,20.3,2.8,6.1,no,yes,yes,yes,6663967.0,351900.0,0.0,10.0,1666.0
