info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,compost_percent,recycling_percent,WasteLog,PopLog,gdp_inhab_log,region,income
1,1,1,0,0.4,12.11,5.337105293755297,16.18806060981521,7.822452742277728,2,2
1,1,1,1,0.2,1.4,5.9632708127372,19.143202772942185,9.30190445299683,2,3
0,1,0,0,0.0,9.0,6.436150368369428,12.544692574208845,9.712889237684491,2,0
0,1,1,1,2.0,0.0,6.238324625039508,12.95559307065422,10.355580488649041,0,0
0,1,1,1,1.39,0.86,5.093995569474415,13.440029889656476,8.087677164788015,5,2
0,0,0,0,0.0,1.0,4.660131744062066,14.516063746221718,9.03127470900272,6,3
0,0,1,0,0.0,0.0,5.505087603744301,15.323002784234554,5.806459392684825,6,1
1,1,1,1,4.08,20.590000000000003,6.561370070809889,17.386297819262676,10.847966439005498,4,0
0,1,1,0,21.0,32.0,6.585288506373142,15.940415187609501,11.24759179618221,1,0
0,1,1,0,15.909826589595378,28.43020231213873,6.992528319431221,12.010921135748113,10.488395439281826,1,0
1,0,1,1,0.44,0.37,5.961623705096961,16.63864046995681,9.675317640207412,2,0
0,1,1,1,3.0,0.0,5.037926154332159,21.03896669219499,8.844033475068093,0,3
0,1,1,1,0.0,3.0,5.3875637440622315,16.831110750800523,7.498110863604865,6,2
0,0,1,1,0.0,0.4,5.024077869792745,16.89077999604178,7.389934484158006,6,2
0,0,1,0,0.0,4.9,5.21330399222108,18.181612997989255,6.012638782339389,6,1
0,0,1,0,0.0,26.2,5.1437666066994385,14.789507020539842,8.587588279338053,6,2
1,0,0,1,0.0,17.2,5.571469387215492,17.65295326124691,8.974319259647954,2,3
0,0,1,0,0.0,0.0,4.771277668919018,13.563742455360162,6.668749078454392,6,1
1,1,1,0,0.0,0.0,5.556441886757492,13.149939633174432,8.194270740425438,6,2
0,0,1,0,0.0,1.26,5.729710096666117,15.375248852801514,9.188677415339923,2,3
0,0,0,1,0.0,9.49,5.477341827222697,16.24063960211633,8.900187691144566,2,3
0,1,1,0,0.0,2.0,5.085124146086995,11.943557869736422,10.488395439281826,2,0
0,1,1,0,0.0,21.0,6.922634039210606,10.988220635754406,10.488395439281826,2,0
1,1,1,0,4.62,13.31,6.146286430199352,13.964780202037126,9.94948859261741,1,0
0,1,1,1,4.22,25.5,5.760225818079412,16.171262888417264,9.99593910490104,1,0
0,1,1,1,18.23,47.83,6.439190613930656,18.218400678593376,10.742815379272418,1,0
0,0,0,0,0.0,0.0,5.04413454263666,13.522778422046997,7.850707077134639,3,2
1,1,1,0,0.0,0.0,5.2094315065395955,11.189975390433117,8.852271599967404,2,3
1,1,1,1,18.99,27.27,6.672197488885081,15.553074982938229,11.021028884422556,1,0
0,1,0,0,0.0,8.2,5.958424693029782,16.169586450840377,8.853338231657409,2,3
1,1,1,0,1.0,8.0,5.723094785688574,17.5194277021293,8.482336701173203,3,3
1,1,0,1,0.0,12.9,5.796422425904647,16.597081878103214,8.569688862658936,2,3
1,1,0,1,7.0,12.5,5.481222086602572,18.290723049483553,7.996694265087864,3,2
0,0,0,0,0.0,0.0,5.096568312087983,15.313947857027683,6.612908289359925,6,1
0,1,1,1,16.45,16.84,6.074978147335799,17.65383746333082,10.358735347972633,1,0
1,1,1,0,3.6,24.74,5.887713846114054,14.089657441631106,9.803714729937326,1,0
0,1,1,0,0.0,0.0,4.195847647552622,18.41941027725121,6.263664893709055,6,1
1,1,1,1,12.45,28.12,6.215967174459823,15.516530253817432,10.738929768827408,1,0
0,1,1,1,0.0,5.45,5.390987701389345,13.672894596749115,8.377986294974582,0,3
0,1,1,1,17.26,22.26,6.219217458979092,18.014576466619065,10.64824140337627,1,0
0,0,1,0,0.0,67.0,7.130842828728288,10.796366351399625,10.488395439281826,1,0
0,1,1,0,0.0,0.0,5.5180149874579465,11.561124978549463,7.946061853310749,0,2
0,0,0,1,0.0,0.0,5.394627046685445,13.898138843226281,9.765006789100628,6,3
1,1,1,0,16.23,27.25,6.185570560298898,17.99187835762312,10.653534544056734,1,0
0,0,1,0,0.0,0.0,5.376296407864626,15.128454621361126,8.315669243148534,1,2
0,1,1,1,0.0,0.0,5.107459478731796,16.885515540102197,7.713538941045587,6,2
0,1,1,1,0.0,0.0,6.225033563905774,10.422995376684952,10.488395439281826,1,0
0,0,1,1,0.0,5.0,4.309455941839047,15.911385454369581,7.081515290114184,6,1
0,1,1,0,0.0,0.0,5.000652296042854,14.086567698892482,6.718856137227793,6,1
0,0,0,0,0.0,0.0,5.103032143362223,14.386787800347214,6.398761310045116,6,1
