country_code,region_id,income_id,compo_organic,compo_glass,compo_metal,compo_other,compo_paper_cardboard,compo_plastic,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_construction_waste_tons_year,SpW_e_waste_tons_year,SpW_hazardous_waste_tons_year,SpW_medical_waste_tons_year,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
LVA,ECS,HighIncome,46.7,21.4,2.6,9.7,6.1,7.7,no,yes,yes,yes,1977527.0,671423.0,25071.0,104142.0,65624.0,857000.0,5.48,21.23,14599.8
MAC,EAS,HighIncome,3.1,3.3,1.7,3.1,58.7,7.9,yes,yes,yes,yes,612167.0,52000.0,11000.0,3118.0,11493.0,377942.0,0.0,20.0,52144.03
MAR,MEA,LowMiddleIncome,60.0,2.0,2.5,6.0,9.0,8.0,no,no,yes,yes,34318082.0,7000000.0,30300.0,289385.0,21000.0,6852000.0,1.0,8.0,3344.71
MDA,ECS,LowMiddleIncome,55.0,4.0,3.0,23.0,5.0,10.0,no,yes,yes,yes,3554108.0,1400000.0,6300.0,418.0,15700.0,3981200.0,0.0,15.32,2069.38
MDV,SAS,MiddleUpperIncome,24.0,,1.0,1.0,6.0,3.0,no,yes,yes,no,409163.0,6161.2,3003.95,15105.525,1737.4,211505.78,7.0,0.0,8799.42
MEX,LCN,MiddleUpperIncome,52.4,5.9,3.4,12.1,13.8,10.9,yes,no,yes,yes,125890949.0,6000000.0,957900.0,18172.49,978.06,53100000.0,0.0,5.0,10001.01
MHL,EAS,MiddleUpperIncome,8.0,2.0,6.0,31.0,11.0,13.0,no,yes,yes,no,52793.0,,,,43.16,8614.0,6.0,30.8,3391.39
MKD,ECS,MiddleUpperIncome,29.3,4.1,2.5,19.8,12.8,13.900000000000002,yes,yes,yes,yes,2081206.0,121551.0,1220.0,40797.0,951293.0,796585.0,0.1,0.18,5249.22
MLT,MEA,HighIncome,52.0,6.0,4.0,9.5,18.0,12.0,yes,yes,yes,yes,431874.0,1258426.0,7643.0,36523.0,23418.0,269000.0,0.0,6.69,27481.34
MMR,EAS,LowMiddleIncome,,,,,,,no,yes,yes,yes,46095462.0,,55000.0,,648.2,4677306.52914,0.0,0.0,1615.56
MNE,ECS,MiddleUpperIncome,33.82,8.97,2.9,19.46,13.72,18.42,yes,yes,yes,no,622159.0,92228.0,6200.0,3819.21,2331.4,332000.0,0.0,5.42,7494.6
MNG,EAS,LowMiddleIncome,22.7,,,50.1,12.7,14.5,no,no,yes,yes,3027398.0,126300.0,14000.0,,967.25,2900000.0,0.0,0.0,3906.12
MYS,EAS,MiddleUpperIncome,46.0,3.0,3.0,9.0,14.0,15.0,no,yes,yes,yes,30228017.0,,280000.0,2918478.0,19500.0,12982685.0,1.0,17.5,11381.9
NCL,EAS,HighIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,no,yes,no,278000.0,,,,324.0,108157.384,0.0,0.0,35895.51301587302
NLD,ECS,HighIncome,35.0,5.4,4.3,20.24,21.0,14.0,yes,yes,yes,no,16939923.0,96206470.0,534410.0,4830495.0,2391871.0,8855000.0,27.1,24.61,52546.63
NOR,ECS,HighIncome,15.49,4.6,6.12,13.15,26.57,2.25,yes,yes,yes,yes,5188607.0,3030449.0,150000.0,1482000.0,1054590.0,2187000.0,16.69,26.16,91116.15
NPL,SAS,LowIncome,52.39,4.36,1.9,7.12,18.21,15.14,no,yes,yes,yes,28982771.0,,23000.0,5051.0,13408.27,1768977.49,2.87,0.0,685.12
OMN,MEA,HighIncome,27.0,6.0,,24.0,15.0,21.0,no,yes,yes,yes,3960925.0,735341.0,59000.0,1469835.0,4500.0,1734885.15,0.0,0.0,18948.69
PAK,SAS,LowMiddleIncome,30.0,6.0,4.0,20.0,13.0,9.0,no,yes,no,yes,193203476.0,,301000.0,1538000.0,292000000.0,30760000.0,2.0,8.0,1179.41
PAN,LCN,HighIncome,46.4,5.8,3.8,5.7,26.3,12.0,no,no,yes,no,3969249.0,,3200.0,,3094.7,1472262.2151499996,0.0,0.0,11284.01
PER,LCN,MiddleUpperIncome,50.43,3.05,2.64,21.7,7.44,10.52,yes,yes,yes,yes,30973354.0,,182000.0,660180.17927,7176.0,8356711.13,0.0,4.0,6252.25
PLW,EAS,HighIncome,26.0,5.0,10.0,9.0,15.0,32.0,no,no,yes,no,21503.0,,200.0,,10.92,9426.7455,0.0,0.0,10477.98
PNG,EAS,LowMiddleIncome,31.0,,,42.0,16.6,10.0,no,yes,yes,yes,7755785.0,,7000.0,,572.0,1000000.0,0.0,2.0,2499.97
POL,ECS,HighIncome,37.27,10.07,2.17,26.69,11.27,12.13,no,yes,yes,yes,37986412.0,135184220.0,224452.0,1679051.0,2486818.0,10863000.0,16.11,26.39,15061.49
