country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_e_waste_tons_year,MSW_generated_tons_year,gdp_inhab
SEN,SSF,LowIncome,no,no,yes,yes,15411614.0,15000.0,2454059.25,1092.25
SGP,EAS,HighIncome,yes,yes,yes,yes,5607283.0,100000.0,7704300.0,53353.84
SLB,EAS,LowMiddleIncome,no,yes,yes,no,563513.0,400.0,179971.964375,1598.65
SLE,SSF,LowIncome,no,no,no,no,5439695.0,3400.0,610222.09,616.83
SLV,LCN,LowMiddleIncome,no,yes,yes,yes,6164626.0,30100.0,1648996.18,3502.01
SRB,ECS,MiddleUpperIncome,yes,yes,yes,yes,7095383.0,14388.0,1840000.0,5821.82
STP,SSF,LowMiddleIncome,no,no,no,no,191266.0,200.0,25586.5,1342.75
SUR,LCN,MiddleUpperIncome,no,no,no,no,526103.0,5000.0,78619.79914999999,8605.5
SVK,ECS,HighIncome,yes,yes,yes,yes,5423801.0,30911.0,1784000.0,19299.95
SVN,ECS,HighIncome,no,yes,yes,no,2063531.0,26359.0,926000.0,24478.31
SWE,ECS,HighIncome,yes,yes,yes,no,9799186.0,721671.0,4377000.0,57187.06
SWZ,SSF,LowMiddleIncome,no,no,no,no,1343098.0,5700.0,218199.47,3906.26
SYC,SSF,HighIncome,no,yes,yes,yes,88303.0,1100.0,48000.0,14579.91
TCD,SSF,LowIncome,no,no,no,no,11887202.0,8800.0,1358850.53,1063.55
TGO,SSF,LowIncome,no,yes,yes,no,7228915.0,6400.0,1109030.45,589.97
THA,EAS,MiddleUpperIncome,no,yes,yes,yes,68657600.0,384233.0,26853366.0,5928.18
TKM,ECS,MiddleUpperIncome,no,yes,yes,yes,5366277.0,22000.0,500000.0,7372.59
TLS,EAS,LowMiddleIncome,no,yes,yes,yes,1268671.0,3600.0,63875.0,2967.73
TON,EAS,MiddleUpperIncome,no,yes,yes,yes,104951.0,300.0,17238.20175,3870.74
TTO,LCN,HighIncome,yes,yes,yes,yes,1328100.0,71.07,727874.0,16203.56
TUN,MEA,LowMiddleIncome,yes,yes,yes,yes,11143908.0,90000.0,2700000.0,4368.49
TUR,ECS,MiddleUpperIncome,no,yes,yes,yes,78271472.0,623000.0,31283000.0,14341.26
TUV,EAS,MiddleUpperIncome,no,yes,yes,no,11097.0,10.0,3989.4865,3533.94
TWN,EAS,HighIncome,no,no,yes,yes,23434000.0,14036.0,7336000.0,35895.51301587302
TZA,SSF,LowIncome,no,no,yes,no,49082997.0,38000.0,9276995.0,952.98
UGA,SSF,LowIncome,no,no,no,no,35093648.0,25000.0,7045049.836,783.13
UKR,ECS,LowMiddleIncome,yes,yes,yes,yes,45004645.0,277000.0,15242025.0,2755.28
URY,LCN,HighIncome,no,yes,yes,yes,3431552.0,37000.0,1260139.5086500002,14093.6
USA,NAC,HighIncome,yes,yes,yes,yes,318563456.0,2440000.0,258000000.0,53114.47
VCT,LCN,MiddleUpperIncome,yes,yes,yes,no,109455.0,900.0,31561.34925,6662.69
VEN,LCN,MiddleUpperIncome,no,no,yes,no,29893080.0,232700.0,9779093.14,7332.349814814818
VNM,EAS,LowMiddleIncome,no,yes,yes,yes,86932500.0,141000.0,9570300.0,1887.73
VUT,EAS,LowMiddleIncome,no,yes,yes,yes,270402.0,300.0,70225.489,2873.69
WSM,EAS,MiddleUpperIncome,no,yes,yes,yes,187665.0,500.0,27399.09,3932.76
XKX,ECS,LowMiddleIncome,yes,yes,yes,yes,1801800.0,23.0,319000.0,3956.75
YEM,MEA,LowIncome,no,yes,yes,no,27584213.0,42000.0,4836820.0,432.39
ZAF,SSF,MiddleUpperIncome,yes,yes,yes,no,51729345.36,321000.0,18457232.0,8142.55
ZMB,SSF,LowMiddleIncome,no,no,yes,no,14264756.0,15000.0,2608268.0,1895.38
ZWE,SSF,LowIncome,no,no,yes,no,12500525.0,13000.0,1449752.0,1185.47
